platform,item_id,title,description,category,user_id,interaction_type,interaction_value,timestamp
Netflix,s8546,The Universe,"Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.","Docuseries, Science & Nature TV",netflix_user_0,watch,1,25-08-2019
Netflix,s3244,Nobody's Looking,"A new guardian ""angelus"" uncovers a secret behind the Angelus System's bureaucracy that leads him to break its official rules about protecting humans.","International TV Shows, TV Comedies, TV Dramas",netflix_user_0,watch,1,02-02-2024
Netflix,s1588,Detention,A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,"International TV Shows, TV Dramas, TV Horror",netflix_user_0,watch,1,13-02-2018
Netflix,s4252,In Family We Trust,"When the head of the lucrative family business passes away, his will leaves the clan at extreme odds.","Crime TV Shows, International TV Shows, TV Dramas",netflix_user_0,watch,1,24-12-2022
Netflix,s8766,XX,This four-part anthology of short horror films features stories that include some traditional themes but all are shown from a female point of view.,Horror Movies,netflix_user_0,watch,1,24-10-2021
Netflix,s6171,Another Forever,"Overtaken by the death of her beloved, a grieving woman decides to take a spontaneous trip to visit her friend and get her life back on track.","Dramas, Independent Movies, International Movies",netflix_user_1,watch,1,27-03-2022
Netflix,s8741,Wild Alaska,"The natural bounty of Alaska sustains its diverse species through extreme weather conditions in three seasons, each with its rewards and challenges.","British TV Shows, Docuseries, Science & Nature TV",netflix_user_1,watch,1,27-07-2020
Netflix,s6194,ATM,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.","Comedies, International Movies, Romantic Movies",netflix_user_1,watch,1,30-12-2022
Netflix,s2863,"Pop, Lock 'n Roll",An ambitious hip-hop dancer jeopardizes his rising career when his affections for an ominous producer's wife threatens to stomp out all of his success.,"Dramas, International Movies, Romantic Movies",netflix_user_1,watch,1,09-05-2018
Netflix,s5422,Young & Hungry,"A female food blogger is hired as a personal chef by a young tech tycoon and faces a new menu of challenges, both inside and outside of the kitchen.",TV Comedies,netflix_user_1,watch,1,25-12-2020
Netflix,s8043,Small Soldiers,"When the Commando Elite, a group of toy action figures, are released before they've been tested, they attack the children playing with them.","Action & Adventure, Comedies, Sci-Fi & Fantasy",netflix_user_2,watch,1,15-10-2018
Netflix,s8271,The Dawn Wall,Cameras follow Tommy Caldwell and Kevin Jorgeson as they take on the staggering challenge of free-climbing Yosemite’s most formidable rock formation.,"Documentaries, Sports Movies",netflix_user_2,watch,1,17-12-2019
Netflix,s5229,Barakah Meets Barakah,A laid-back civil servant and wealthy video blogger struggle to make it as a modern couple amid strict Saudi social conventions.,"Comedies, International Movies, Romantic Movies",netflix_user_2,watch,1,15-09-2022
Netflix,s5892,Beasts of No Nation,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.","Dramas, Independent Movies",netflix_user_2,watch,1,13-02-2018
Netflix,s1975,Saheb Biwi Aur Gangster Returns,Knotty love triangles and nefarious schemes arise when a nobleman’s plans to remarry fall into the cunning hands of his first wife and a vengeful rival.,"Dramas, International Movies, Romantic Movies",netflix_user_2,watch,1,03-12-2021
Netflix,s3550,Mi amigo Alexis,"When a young soccer fan and his idol forge an unexpected friendship, the connection teaches them both lessons about life and their love of the game.","Children & Family Movies, Comedies, Dramas",netflix_user_3,watch,1,29-06-2021
Netflix,s298,Navarasa,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",TV Shows,netflix_user_3,watch,1,18-12-2024
Netflix,s823,The Wind,"Isolated on a wind-ravaged 19th-century homestead, a frontierswoman begins to suspect that evil lurks in the terrifying emptiness all around her.",Horror Movies,netflix_user_3,watch,1,01-08-2019
Netflix,s7588,Nights in Rodanthe,"When a hurricane hits a coastal North Carolina inn and strands the only guest, surgeon Paul Flanner, a young woman's life changes forever.","Dramas, Romantic Movies",netflix_user_3,watch,1,29-04-2019
Netflix,s4059,Pants on Fire,Jealous girlfriends and aliens are just some of the things Jack lied about to become popular. Now the lies are coming to life and ruining everything.,"Children & Family Movies, Comedies",netflix_user_3,watch,1,10-08-2023
Netflix,s7057,Iliza Shlesinger: War Paint,"""Last Comic Standing"" winner Iliza Shlesinger unleashes her acerbic, stream-of-conscious comedy on an unsuspecting audience in her hometown of Dallas.",Stand-Up Comedy,netflix_user_4,watch,1,27-11-2022
