platform,user_id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,interaction_type,interaction_value,timestamp
Disney,user_1,s249,Movie,The Kid Who Would Be King,Joe Cornish,"Louis Ashbourne Serkis, Tom Taylor, Rebecca Ferguson, Patrick Stewart, Denise Gough, Dean Chaumoo","United Kingdom, United States","April 16, 2021",2019,PG,121 min,"Action-Adventure, Coming of Age, Family","When a kid discovers the legendary sword, Excalibur, he and his friends join Merlin to fight evil!",rate,5.0,2025-05-09 19:20:11
Disney,user_1,s683,Movie,Wind,Edwin Chang,"Emilio Fuentes, Sonoko Konishi",United States,"December 13, 2019",2019,G,9 min,"Animation, Family, Fantasy","Trapped deep down an endless chasm, a grandmother and boy seek to escape to a better life.",like,,2025-04-29 19:20:11
Disney,user_1,s1002,TV Show,LEGO Star Wars: All Stars,,"Jasmin Brown, Josh Peck, Zeno Robinson, Max Mittelman, Matthew Wood",United States,"November 12, 2019",2018,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy","Han, Chewie, Leia and more team up for new adventures!",like,,2025-03-16 19:20:11
Disney,user_1,s412,Movie,Notre Dame: Race Against The Inferno,"Fabrice Gardel, Simon Kessler, Josselin Mahot",Paul Bandey,"United Kingdom, France","September 18, 2020",2019,TV-PG,45 min,Documentary,"On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral.",like,,2024-12-15 19:20:11
Disney,user_1,s690,Movie,Expedition Amelia,Chad Cohen,"Allison Janney, Bob Ballard, Fredrik Hiebert",United States,"December 1, 2019",2019,TV-PG,94 min,"Action-Adventure, Documentary, Historical",Dr. Robert Ballard plans an expedition to solve the mystery of Amelia Earhart’s disappearance.,watch,,2025-06-01 19:20:11
Disney,user_1,s1387,Movie,Treasure of Matecumbe,Vincent McEveety,"Robert Foxworth, Joan Hackett, Peter Ustinov, Vic Morrow, Johnny Doran, Billy Attmore",United States,"November 12, 2019",1976,G,116 min,"Action-Adventure, Family, Mystery","Using a secret map, friends face a dangerous search for pirate gold. See details for advisory.",like,,2024-10-23 19:20:11
Disney,user_1,s218,TV Show,Big City Greens,,"Chris Houghton, Marieve Herington, Bob Joles, Artemis Pebdani","United States, South Korea","May 21, 2021",2017,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",The Green family moves from the country to Big City.,like,,2024-11-15 19:20:11
Disney,user_1,s1139,Movie,Pluto's Christmas Tree,Jack Hannah,"Jimmy MacDonald, Pinto Colvig, Clarence Nash, Ruth Clifford, Dessie Miller",United States,"November 12, 2019",1952,TV-Y7,7 min,"Animation, Family, Kids",Pluto and Mickey bring home a special Christmas Tree. See details for advisory.,rate,4.0,2025-03-02 19:20:11
Disney,user_1,s130,TV Show,Growing Up Animal,,Tracee Ellis Ross,,"August 18, 2021",2021,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Magical stories of baby animals on the journey from womb to the wild.,like,,2025-03-22 19:20:11
Disney,user_1,s298,Movie,Flora & Ulysses,Lena Khan,"Matilda Lawler, Alyson Hannigan, Ben Schwartz, Anna Deavere Smith, Danny Pudi, Benjamin Evan Ainsworth",United States,"February 19, 2021",2021,PG,95 min,"Comedy, Coming of Age, Drama",Comic book fan Flora saves a squirrel whose superhero powers bring hope and wonder to her family.,rate,4.0,2025-08-01 19:20:11
Disney,user_2,s1184,Movie,Secretariat,Randall Wallace,"Diane Lane, John Malkovich, Dylan Walsh, James Cromwell, Kevin Connolly, Nelsan Ellis",United States,"November 12, 2019",2010,PG,124 min,"Animals & Nature, Biographical, Drama","A housewife becomes the unlikely owner of a racehorse, then risks it all to make him a champion.",like,,2024-11-28 19:20:11
Disney,user_2,s13,Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,"November 19, 2021",2007,G,91 min,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.,rate,4.0,2025-04-10 19:20:11
Disney,user_2,s1108,Movie,Olaf's Frozen Adventure,"Stevie Wermers-Skelton, Kevin Deters","Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff, Chris Williams, John de Lancie",United States,"November 12, 2019",2017,G,25 min,"Animation, Comedy, Family",Olaf and Sven set out to save Christmas for Anna and Elsa.,watch,,2025-08-22 19:20:11
Disney,user_2,s1008,Movie,LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,Michael Hegner,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent",United States,"November 12, 2019",2014,TV-Y7,24 min,"Action-Adventure, Animation, Comedy",The enraged Emperor sends Darth Vader to destroy Luke.,rate,4.0,2024-10-12 19:20:11
Disney,user_2,s1228,Movie,Swiss Family Robinson,Edward Ludwig,"Thomas Mitchell, Edna Best, Freddie Bartholomew, Terry Kilburn, Tim Holt, Baby Quillan",United States,"November 12, 2019",1940,PG,94 min,"Action-Adventure, Family, Survival",A violent storm shipwrecks the Robinson family on a deserted island. See details for advisory.,like,,2025-06-05 19:20:11
Disney,user_2,s262,TV Show,Made in a Day,,Craig Whitney,United States,"April 2, 2021",2020,TV-PG,1 Season,Reality,This is the story of how today’s biggest brands are made today.,watch,,2025-06-30 19:20:11
Disney,user_2,s394,Movie,The Chronicles Of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton","United States, United Kingdom","October 9, 2020",2010,PG,113 min,"Action-Adventure, Family, Fantasy",Three heroes sail with King Caspian to help Narnian lords banished by an evil usurper of the throne.,watch,,2025-02-16 19:20:11
Disney,user_2,s343,Movie,Ralph Breaks the Internet,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk",United States,"December 11, 2020",2018,PG,116 min,"Action-Adventure, Animation, Comedy",Ralph and Vanellope are swept into the internet.,watch,,2025-01-24 19:20:11
Disney,user_2,s1041,Movie,Marvel Studios' Captain America: Civil War,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle",United States,"November 12, 2019",2016,PG-13,150 min,"Action-Adventure, Science Fiction, Superhero","Captain America and Iron Man clash, causing the Avengers to choose sides.",watch,,2025-08-25 19:20:11
Disney,user_2,s1355,Movie,The Vanishing Prairie,James Algar,Winston Hibler,United States,"November 12, 2019",1954,G,71 min,"Animals & Nature, Documentary, Family",The story of the American prairie amidst the march of civilization.,like,,2025-05-29 19:20:11
Disney,user_3,s540,Movie,Homeward Bound: The Incredible Journey,Duwayne Dunham,"Robert Hays, Kim Greist, Jean Smart, Veronica Lauren, Kevin Chevalia, Benj Thall",United States,"May 1, 2020",1993,G,85 min,"Action-Adventure, Animals & Nature, Family",Two dogs and a cat embark on a great American journey to find their owners.,rate,5.0,2025-03-28 19:20:11
Disney,user_3,s496,Movie,Big Sur: Wild California,,Hector Elizondo,United States,"June 19, 2020",2010,TV-PG,47 min,"Animals & Nature, Documentary, Family",Why is California's Big Sur coastline experiencing an explosion in wildlife?,watch,,2024-12-28 19:20:11
Disney,user_3,s94,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,"September 24, 2021",2021,TV-PG,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,like,,2025-07-26 19:20:11
Disney,user_3,s1021,Movie,Lilo & Stitch,"Christopher Sanders, Dean DeBlois","Daveigh Chase, Christopher Sanders, Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames",United States,"November 12, 2019",2002,TV-PG,86 min,"Action-Adventure, Animation, Family",A little girl adopts a wanted alien wreaking havoc on the Hawaiian Islands.,like,,2025-07-16 19:20:11
Disney,user_3,s406,TV Show,Becoming,,,United States,"September 18, 2020",2020,TV-PG,1 Season,"Anthology, Docuseries, Family","Becoming chronicles the origin stories of world-class entertainers, musicians and athletes.",like,,2025-04-03 19:20:11
Disney,user_3,s1343,Movie,The Suite Life Movie,Sean McNamara,"Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan, Matthew Timmons, John Ducey",United States,"November 12, 2019",2011,TV-G,81 min,"Comedy, Coming of Age",Zack and Cody become truly connected after joining a twin research study.,like,,2025-05-21 19:20:11
Disney,user_3,s1408,Movie,Winged Seduction: Birds of Paradise,Molly Hermann,Josh Goodman,United States,"November 12, 2019",2012,TV-PG,45 min,"Action-Adventure, Animals & Nature, Documentary","Shape shifting, dancing, dazzling transformers – birds of paradise are astonishing.",rate,4.0,2025-05-02 19:20:11
